state,account length,international plan,voice mail plan,number vmail messages,total day minutes,total day calls,total day charge,total eve minutes,total eve calls,total eve charge,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls,churn
TX,123,0,0,0,257.9,92,43.84,211.6,71,17.99,189.3,104,8.52,9.4,2,2.54,2,0
DE,136,1,1,29,85.2,98,14.48,230.4,85,19.58,243.6,104,10.96,9,3,2.43,2,0
MS,68,0,1,34,160,72,27.2,184.5,119,15.68,208.3,101,9.37,6.1,10,1.65,1,0
OH,132,0,1,10,182.9,54,31.09,292.4,68,24.85,142.3,116,6.4,11.5,4,3.11,0,0
LA,133,0,0,0,216.2,67,36.75,222.2,133,18.89,192,95,8.64,3.1,1,0.84,2,0
FL,127,0,0,0,261.7,105,44.49,181.8,107,15.45,100.9,131,4.54,3.3,5,0.89,0,0
WA,110,0,0,0,241.2,105,41,174.3,85,14.82,245.3,59,11.04,8.5,4,2.3,2,0
WV,121,0,0,0,177.2,142,30.12,123.5,88,10.5,213.2,51,9.59,8.4,6,2.27,1,0
NY,116,0,0,0,89.5,128,15.22,180.8,137,15.37,193.1,94,8.69,14,3,3.78,2,0
NE,112,1,1,16,200.3,72,34.05,197.8,91,16.81,151.1,92,6.8,10.4,3,2.81,1,0
MS,43,0,0,0,159.5,99,27.12,119.7,149,10.17,173.9,126,7.83,6.8,3,1.84,2,0
IN,110,0,0,0,151.8,106,25.81,138,126,11.73,233.5,112,10.51,11.2,8,3.02,3,0
VA,67,0,0,0,176.2,120,29.95,236,138,20.06,152.5,104,6.86,10.6,4,2.86,1,0
MN,166,0,0,0,152.1,95,25.86,121,105,10.29,198,126,8.91,9.8,5,2.65,0,0
DE,129,0,0,0,161.3,122,27.42,220.6,95,18.75,224.7,104,10.11,9.6,3,2.59,1,0
OR,103,1,0,0,171.7,78,29.19,144.5,86,12.28,157.9,106,7.11,6.8,3,1.84,3,0
CT,112,0,1,27,213,121,36.21,226.2,101,19.23,189.8,99,8.54,11.1,3,3,4,0
AL,8,0,1,36,242.9,67,41.29,170.9,59,14.53,177.3,130,7.98,4.8,12,1.3,1,0
CT,90,0,0,0,175.9,111,29.9,285.2,115,24.24,150.8,122,6.79,13,7,3.51,1,0
AR,58,0,0,0,238.9,107,40.61,187.2,88,15.91,181.1,84,8.15,11.8,3,3.19,2,0
CA,137,0,1,22,189.6,42,32.23,179,137,15.22,179.6,126,8.08,11.4,5,3.08,2,0
WV,94,0,1,28,92.7,107,15.76,127.8,86,10.86,225.6,86,10.15,9.9,4,2.67,3,0
DE,87,0,0,0,177.2,72,30.12,248.9,105,21.16,200.8,87,9.04,8.6,7,2.32,3,0
FL,120,0,0,0,184.5,103,31.37,209,86,17.77,169.7,70,7.64,10.2,6,2.75,2,0
AK,97,0,1,24,176.1,109,29.94,159.4,81,13.55,269.1,94,12.11,12.1,9,3.27,0,0
ID,134,0,0,0,204.7,108,34.8,143.1,105,12.16,165.8,84,7.46,11,4,2.97,6,0
OH,68,0,0,0,143.6,80,24.41,134.3,65,11.42,215.6,84,9.7,15.5,5,4.19,2,0
NH,93,0,0,0,179.3,93,30.48,188.8,65,16.05,253.2,88,11.39,12.1,5,3.27,1,0
MA,120,0,0,0,137.3,100,23.34,212.2,129,18.04,152.7,92,6.87,10.5,2,2.84,1,0
SC,41,0,0,0,237.8,92,40.43,223.5,155,19,217.4,90,9.78,10.2,6,2.75,2,0
OR,80,0,0,0,203.7,92,34.63,216.4,97,18.39,154.2,66,6.94,7.6,5,2.05,2,0
OH,83,0,1,25,191.3,95,32.52,250.7,136,21.31,249.4,86,11.22,17.6,5,4.75,2,0
NC,109,1,0,0,209.1,141,35.55,205,93,17.43,119.4,111,5.37,7.8,3,2.11,2,0
KY,66,0,1,33,88.8,104,15.1,109.6,94,9.32,172.7,107,7.77,7.1,9,1.92,3,0
ID,104,0,0,0,97.2,88,16.52,155.6,85,13.23,261.6,105,11.77,12.4,5,3.35,0,0
WA,89,0,0,0,137.9,96,23.44,192.6,63,16.37,255.7,125,11.51,11,5,2.97,1,0
WV,127,0,0,0,224.3,112,38.13,185.7,103,15.78,159.4,83,7.17,10,1,2.7,2,0
RI,117,0,1,13,207.6,65,35.29,152.7,77,12.98,232.8,95,10.48,9.7,3,2.62,1,0
KS,128,0,0,0,268.1,95,45.58,120.5,126,10.24,220.8,121,9.94,14.4,6,3.89,2,0
FL,22,0,0,0,181.8,108,30.91,198.6,148,16.88,206.6,96,9.3,9.3,3,2.51,2,0
WY,78,0,0,0,147.1,80,25.01,199.7,100,16.97,160.7,106,7.23,13.7,7,3.7,0,0
WA,56,0,1,29,37.7,115,6.41,144.1,111,12.25,226.6,101,10.2,4.9,3,1.32,1,0
CO,192,0,0,0,185,88,31.45,224.9,98,19.12,212.4,105,9.56,11.4,3,3.08,2,0
WI,70,0,0,0,156.4,108,26.59,171,116,14.54,196.1,96,8.82,8.6,4,2.32,2,0
KS,148,0,0,0,239.3,84,40.68,195.7,85,16.63,232.6,104,10.47,10.9,3,2.94,1,0
RI,65,0,1,29,215.5,129,36.64,161.9,77,13.76,128.3,91,5.77,8.8,5,2.38,2,0
MT,119,0,0,0,134.9,70,22.93,211.5,74,17.98,188.5,105,8.48,11.3,6,3.05,1,0
CO,80,0,0,0,194.8,116,33.12,209.9,93,17.84,194.1,100,8.73,12.8,3,3.46,0,0
CT,152,0,1,20,239.1,105,40.65,209.1,111,17.77,268.2,130,12.07,13.3,3,3.59,5,0
FL,113,0,0,0,92.6,85,15.74,177.6,92,15.1,159.8,72,7.19,14.4,4,3.89,3,0
VT,75,0,0,0,209.4,133,35.6,211.5,121,17.98,291.2,123,13.1,7.2,4,1.94,1,0
OH,80,0,0,0,197.6,83,33.59,164.5,86,13.98,94,98,4.23,6.4,6,1.73,1,0
NH,148,0,0,0,17.6,121,2.99,161.7,125,13.74,203.1,82,9.14,10.6,6,2.86,1,0
RI,63,1,0,0,62.9,112,10.69,202.9,111,17.25,259,58,11.66,8.9,8,2.4,1,0
FL,97,0,1,28,202.3,97,34.39,69.2,84,5.88,257.6,64,11.59,6.7,3,1.81,1,0
MD,166,0,0,0,136.1,116,23.14,181.4,93,15.42,131.4,108,5.91,11.3,4,3.05,0,0
WY,94,0,0,0,207,109,35.19,167.4,80,14.23,238.2,117,10.72,2.6,6,0.7,1,0
FL,85,0,1,33,207.9,95,35.34,233.5,88,19.85,221.3,92,9.96,13.5,3,3.65,1,0
NC,210,0,1,31,313.8,87,53.35,147.7,103,12.55,192.7,97,8.67,10.1,7,2.73,3,0
IN,88,1,1,25,288.5,114,49.05,203.4,74,17.29,228.4,117,10.28,13,5,3.51,1,0
IA,100,0,0,0,210.9,85,35.85,329.3,69,27.99,127.1,78,5.72,9.4,5,2.54,4,0
WV,154,0,1,35,64.9,76,11.03,184.1,91,15.65,151.6,75,6.82,14.6,1,3.94,1,0
UT,32,0,1,26,243.5,137,41.4,236.8,108,20.13,173.3,149,7.8,9,9,2.43,1,0
GA,18,0,0,0,197,97,33.49,203.7,107,17.31,202,105,9.09,8.7,3,2.35,3,0
AK,126,0,1,31,278,88,47.26,253.2,65,21.52,223.2,114,10.04,8.7,4,2.35,0,0
UT,144,0,1,37,219.9,102,37.38,222.1,77,18.88,118.5,111,5.33,10,4,2.7,1,0
AR,86,0,1,16,145.7,88,24.77,191,129,16.24,215.5,82,9.7,11.3,7,3.05,0,0
AK,138,0,1,37,75.8,102,12.89,173.6,147,14.76,162.6,96,7.32,8.2,13,2.21,0,0
AK,146,0,0,0,195.9,86,33.3,228.6,82,19.43,303.5,94,13.66,12.2,4,3.29,3,0
ME,175,0,0,0,132,95,22.44,231.2,74,19.65,313.4,108,14.1,8.7,10,2.35,1,0
WV,74,0,0,0,124,102,21.08,262.1,101,22.28,268.2,98,12.07,11.7,2,3.16,2,0
CT,48,0,0,0,171.9,98,29.22,159,127,13.52,139.5,101,6.28,7.6,3,2.05,2,0
GA,74,0,1,31,249.4,70,42.4,209.5,59,17.81,180.6,75,8.13,9.9,2,2.67,4,0
NV,105,1,0,0,228.4,100,38.83,145.1,108,12.33,245.3,140,11.04,7.7,7,2.08,0,0
VT,157,0,0,0,168.6,71,28.66,205.1,48,17.43,175.8,88,7.91,5.9,2,1.59,3,0
DC,217,0,0,0,123.7,138,21.03,248.5,105,21.12,269.6,78,12.13,13.3,4,3.59,0,0
TN,68,0,0,0,178.7,61,30.38,252.3,84,21.45,255.7,76,11.51,8.4,4,2.27,1,0
OR,80,0,0,0,113.2,86,19.24,185.5,97,15.77,237.3,145,10.68,9.5,5,2.57,1,0
MS,38,0,1,25,142.4,106,24.21,313.7,109,26.66,126.6,117,5.7,13.4,6,3.62,2,0
NC,107,0,1,38,204.2,57,34.71,205.9,92,17.5,286.5,80,12.89,8.3,4,2.24,0,0
CO,140,0,0,0,149.7,71,25.45,212.5,97,18.06,245.9,67,11.07,12.6,4,3.4,3,0
PA,114,0,0,0,155.3,75,26.4,169.9,87,14.44,207,133,9.32,12.6,5,3.4,2,0
MN,46,0,0,0,156.4,105,26.59,185.5,98,15.77,226.7,96,10.2,11.8,3,3.19,1,0
NM,118,0,1,42,148.7,105,25.28,167.3,105,14.22,270.6,105,12.18,10.4,7,2.81,0,0
UT,37,0,0,0,271.7,112,46.19,155.1,96,13.18,199.5,97,8.98,6.6,4,1.78,3,0
NE,34,0,0,0,193.7,74,32.93,126.9,84,10.79,221.2,166,9.95,8.8,4,2.38,0,0
MS,98,1,1,23,245.5,54,41.74,292.7,83,24.88,184,90,8.28,10.8,7,2.92,1,0
OR,69,0,0,0,196.1,87,33.34,236.8,66,20.13,182.3,75,8.2,11.9,1,3.21,0,0
VA,121,0,0,0,134.1,112,22.8,195.1,104,16.58,159.6,139,7.18,10.5,2,2.84,2,0
NJ,59,1,1,31,225,78,38.25,191.3,79,16.26,226.7,79,10.2,9.1,3,2.46,1,0
WV,59,0,0,0,189.7,100,32.25,115.9,133,9.85,220.6,115,9.93,7.4,4,2,0,0
OR,190,0,0,0,142.9,96,24.29,177.9,96,15.12,113.3,117,5.1,6.6,4,1.78,0,0
KY,109,0,0,0,175.6,80,29.85,238,94,20.23,198.4,103,8.93,10.2,6,2.75,1,0
MO,136,0,0,0,92.4,109,15.71,219,115,18.62,212.6,80,9.57,12.9,4,3.48,2,0
TX,86,0,0,0,92.8,92,15.78,159.6,87,13.57,148.7,115,6.69,8.8,5,2.38,1,0
MN,100,0,1,27,221.7,100,37.69,236.1,70,20.07,192.7,91,8.67,8,4,2.16,0,0
FL,106,0,0,0,159.6,94,27.13,276.8,118,23.53,223.5,65,10.06,8.8,3,2.38,0,0
PA,104,0,0,0,144.5,107,24.57,180.5,85,15.34,226,94,10.17,17,6,4.59,2,0
WV,129,0,0,0,159.1,100,27.05,202.5,90,17.21,233.1,96,10.49,11.5,6,3.11,2,0
IN,205,0,0,0,49.9,123,8.48,150.7,81,12.81,188.2,67,8.47,10.1,4,2.73,2,0
OK,93,0,1,32,116.9,120,19.87,232.4,97,19.75,127.7,112,5.75,11,9,2.97,0,0
NE,123,0,0,0,150,98,25.5,89.8,95,7.63,326,91,14.67,11.1,3,3,3,0
DE,99,0,0,0,254.4,120,43.25,159.3,92,13.54,264.4,94,11.9,6,5,1.62,1,0
MI,61,0,1,33,270.7,53,46.02,200.7,116,17.06,201.7,102,9.08,10.9,3,2.94,3,0
IL,71,0,0,0,207,112,35.19,173.8,96,14.77,178.4,61,8.03,12.1,3,3.27,1,0
UT,4,1,0,0,145.3,89,24.7,303.8,93,25.82,206.1,82,9.27,8.9,4,2.4,0,0
IL,148,0,1,25,230.7,102,39.22,233.8,109,19.87,215.8,90,9.71,13.5,2,3.65,3,0
WA,141,0,0,0,151.5,104,25.76,242.2,114,20.59,304.2,109,13.69,10.8,2,2.92,1,0
NM,56,0,0,0,146.1,57,24.84,196.2,97,16.68,310.1,110,13.95,9.2,3,2.48,0,0
MD,160,0,0,0,256,111,43.52,187.4,61,15.93,119.1,81,5.36,11.5,4,3.11,3,0
VA,43,0,1,35,200.2,105,34.03,244.4,88,20.77,207.2,97,9.32,11.6,4,3.13,3,0
MT,42,0,0,0,150.7,52,25.62,246.7,96,20.97,103.8,118,4.67,7,4,1.89,2,0
CT,135,1,0,0,186,107,31.62,66,94,5.61,213.1,105,9.59,12.9,4,3.48,1,0
AL,106,0,0,0,212.9,110,36.19,187,69,15.9,128.1,71,5.76,6.3,3,1.7,3,0
WV,106,0,0,0,194.8,133,33.12,213.4,73,18.14,190.8,92,8.59,11.5,7,3.11,0,0
MO,83,0,1,30,272.5,105,46.33,253,83,21.51,180.8,123,8.14,8.7,6,2.35,3,0
ND,110,0,0,0,135.1,109,22.97,205.2,99,17.44,166.3,119,7.48,11.7,4,3.16,1,0
AR,153,0,0,0,154.6,56,26.28,263,84,22.36,367.7,89,16.55,15.5,2,4.19,1,0
GA,109,0,1,35,230.5,116,39.19,265.8,130,22.59,269.7,69,12.14,10.6,6,2.86,5,0
FL,31,0,0,0,165.4,84,28.12,203.7,107,17.31,201.7,65,9.08,8.2,1,2.21,1,0
AZ,124,0,0,0,253.5,104,43.1,117.9,123,10.02,248.5,104,11.18,14,2,3.78,0,0
KY,122,0,0,0,168.3,96,28.61,87.6,91,7.45,247.2,87,11.12,8.4,6,2.27,1,0
AL,137,0,0,0,104.7,115,17.8,249.8,144,21.23,192.3,99,8.65,8.9,2,2.4,1,0
IN,69,0,0,0,135.4,101,23.02,238.1,124,20.24,195.6,102,8.8,10.6,2,2.86,1,0
IN,46,0,1,34,191.4,102,32.54,361.8,96,30.75,147.5,132,6.64,7.2,2,1.94,1,0
FL,103,0,0,0,158.7,90,26.98,198.4,117,16.86,181.1,76,8.15,10.5,4,2.84,1,0
NM,16,0,0,0,144.8,84,24.62,164.9,141,14.02,231.5,75,10.42,8.2,4,2.21,2,0
AL,119,0,0,0,98.8,97,16.8,146.9,68,12.49,190.7,105,8.58,10,4,2.7,3,0
NY,122,0,1,37,163,107,27.71,312.8,118,26.59,200,85,9,11.6,5,3.13,1,0
MD,139,0,0,0,181.6,119,30.87,335.7,118,28.53,149.8,64,6.74,8.3,6,2.24,4,0
KS,67,0,0,0,129,78,21.93,188,116,15.98,235,102,10.58,11.2,3,3.02,2,0
WV,84,0,0,0,86,83,14.62,260.7,86,22.16,98.6,109,4.44,8.9,4,2.4,1,0
ID,101,0,1,17,193.9,71,32.96,189.8,81,16.13,196.3,97,8.83,12.6,7,3.4,0,0
LA,40,0,0,0,109.4,107,18.6,244.7,102,20.8,276.9,123,12.46,7.1,7,1.92,0,0
MI,61,0,0,0,188.9,105,32.11,153.6,116,13.06,213.3,106,9.6,10.2,2,2.75,2,0
CA,95,0,0,0,183.4,98,31.18,281.3,95,23.91,105.2,113,4.73,8.2,8,2.21,1,0
FL,98,0,0,0,288.1,101,48.98,137.9,93,11.72,206.5,88,9.29,0,0,0,0,0
LA,114,0,0,0,169.2,96,28.76,149.9,83,12.74,196.9,119,8.86,4.6,4,1.24,2,0
AL,149,0,1,20,264.4,102,44.95,219.6,123,18.67,200.4,89,9.02,11.3,3,3.05,2,0
CT,22,0,0,0,207.7,116,35.31,210.6,99,17.9,238.2,88,10.72,9.6,5,2.59,0,0
PA,176,0,0,0,169.5,151,28.82,112.9,84,9.6,56.6,99,2.55,8.7,4,2.35,0,0
TX,152,0,0,0,141.5,102,24.06,263,94,22.36,207.1,113,9.32,3.4,4,0.92,2,0
VA,118,0,0,0,154.8,71,26.32,244,73,20.74,159.6,81,7.18,12.8,4,3.46,0,0
MO,101,1,0,0,133.5,51,22.7,219.6,96,18.67,210,74,9.45,11.7,4,3.16,1,0
ND,118,0,0,0,224.6,94,38.18,225.9,120,19.2,269,105,12.11,12.5,8,3.38,2,0
KY,71,0,0,0,104,92,17.68,197,125,16.75,110.1,123,4.95,14.6,8,3.94,0,0
MD,71,0,1,31,115.4,90,19.62,217.4,78,18.48,239.9,102,10.8,13.1,4,3.54,1,0
IN,68,0,0,0,222.1,107,37.76,199.4,102,16.95,162.4,107,7.31,9.4,3,2.54,2,0
MA,66,0,0,0,116.4,98,19.79,95.6,74,8.13,181.5,94,8.17,10.5,3,2.84,3,0
ND,101,0,0,0,217.7,118,37.01,231.7,128,19.69,185.3,128,8.34,0,0,0,3,0
VT,116,0,0,0,129.4,84,22,157.3,89,13.37,215.5,77,9.7,13.3,3,3.59,0,0
CT,54,0,1,33,161.8,73,27.51,273,58,23.21,153.9,76,6.93,13.7,4,3.7,0,0
VA,112,0,1,29,198.8,122,33.8,238.6,114,20.28,289.5,69,13.03,11.5,5,3.11,1,0
MS,122,0,1,45,147.8,85,25.13,147.4,93,12.53,203.5,110,9.16,14,5,3.78,1,0
AK,74,0,0,0,262.3,114,44.59,198.9,96,16.91,165.9,90,7.47,6.6,5,1.78,3,0
WY,90,0,0,0,246.4,83,41.89,160.3,88,13.63,170.9,99,7.69,7.6,7,2.05,1,0
NC,85,0,0,0,183.4,111,31.18,168.8,98,14.35,199.7,97,8.99,9.9,4,2.67,4,0
IL,100,0,0,0,191.9,95,32.62,200.9,101,17.08,271.9,74,12.24,18.2,3,4.91,1,0
OH,114,0,0,0,187.8,109,31.93,154.6,97,13.14,213.9,102,9.63,10.1,3,2.73,2,0
RI,83,0,0,0,259.7,106,44.15,152.7,116,12.98,224.7,92,10.11,10.2,2,2.75,0,0
WY,157,1,0,0,180.4,123,30.67,194,98,16.49,227.3,88,10.23,8.4,5,2.27,0,0
OR,51,0,0,0,51.8,107,8.81,230.2,104,19.57,227.5,118,10.24,10.4,4,2.81,2,0
OR,112,0,0,0,206.2,122,35.05,164.5,94,13.98,140.3,101,6.31,12.6,7,3.4,3,0
ND,56,0,0,0,164.3,92,27.93,233.7,107,19.86,187.3,104,8.43,11.8,1,3.19,2,0
WV,64,0,1,22,200.4,80,34.07,131.1,84,11.14,230.7,67,10.38,7.6,5,2.05,1,0
VA,123,0,0,0,154.3,107,26.23,183,111,15.56,54,134,2.43,10.9,8,2.94,0,0
ID,68,0,1,30,122.9,93,20.89,233.5,91,19.85,199.5,144,8.98,9.6,2,2.59,2,0
CT,40,1,0,0,220.8,100,37.54,265.7,106,22.58,212.8,94,9.58,6.4,3,1.73,0,0
NM,132,0,0,0,214.6,78,36.48,251.7,98,21.39,240.8,88,10.84,13.9,2,3.75,0,0
NY,122,0,0,0,145.6,102,24.75,284.7,111,24.2,228.2,91,10.27,12.2,5,3.29,0,0
MT,130,0,1,19,152.9,87,25.99,213.2,99,18.12,205.3,114,9.24,10.8,6,2.92,2,0
WY,90,0,0,0,125.4,158,21.32,269.1,83,22.87,238.6,103,10.74,11,7,2.97,1,0
NE,139,0,1,25,138.3,96,23.51,80.6,79,6.85,163.7,83,7.37,8.3,8,2.24,0,0
IN,57,0,0,0,189.3,157,32.18,174.9,70,14.87,221.9,117,9.99,11.2,5,3.02,3,0
CO,128,0,0,0,199.3,86,33.88,194.8,102,16.56,298.2,82,13.42,14.3,2,3.86,4,0
WY,127,1,0,0,247.5,99,42.08,108.5,118,9.22,232,72,10.44,10.6,3,2.86,2,0
OK,177,0,0,0,175.4,99,29.82,155.3,83,13.2,179.4,86,8.07,11.5,3,3.11,1,0
SD,121,0,0,0,179.4,70,30.5,143,93,12.16,116.3,113,5.23,11.2,5,3.02,1,0
SC,99,1,1,39,126.8,94,21.56,293.6,115,24.96,174.1,91,7.83,8.4,4,2.27,0,0
WV,21,0,0,0,91.9,109,15.62,198.4,111,16.86,171.7,125,7.73,13,7,3.51,2,0
WA,56,0,0,0,210.4,80,35.77,176.6,96,15.01,149.7,56,6.74,15.5,4,4.19,1,0
MN,81,0,0,0,145.6,59,24.75,287.9,131,24.47,181.7,121,8.18,9.2,4,2.48,2,0
AZ,68,0,0,0,232.4,76,39.51,153.3,103,13.03,214.6,107,9.66,10.5,2,2.84,1,0
DE,183,0,1,8,86.5,119,14.71,285.2,97,24.24,180.4,133,8.12,8.7,2,2.35,2,0
CO,90,0,0,0,109.9,102,18.68,220.8,114,18.77,104,133,4.68,10.9,6,2.94,0,0
WI,165,0,0,0,156,88,26.52,276.1,81,23.47,175.9,94,7.92,9.3,5,2.51,1,0
NJ,59,0,0,0,195,58,33.15,198.5,88,16.87,304.3,110,13.69,14.8,9,4,0,0
IL,16,1,0,0,110,91,18.7,147.3,75,12.52,190.5,73,8.57,6.4,7,1.73,0,0
IA,113,0,0,0,156,141,26.52,256.8,72,21.83,175.3,123,7.89,11.9,5,3.21,2,0
GA,120,0,0,0,98.2,99,16.69,186.7,85,15.87,146.7,96,6.6,9.3,4,2.51,2,0
AK,115,0,0,0,210.6,120,35.8,153.1,84,13.01,262.2,79,11.8,11,5,2.97,0,0
KY,38,0,1,36,115.4,98,19.62,166.2,83,14.13,184.7,79,8.31,15.2,6,4.1,2,0
SC,1,0,0,0,123.8,113,21.05,236.2,77,20.08,73.2,81,3.29,3.7,2,1,0,0
MT,97,0,1,15,117.6,97,19.99,196.3,126,16.69,157.4,113,7.08,6.4,3,1.73,1,0
KY,55,0,1,28,105.3,82,17.9,197.4,109,16.78,187.5,91,8.44,8.6,6,2.32,2,0
WV,75,0,0,0,111.7,121,18.99,237.3,119,20.17,253.5,110,11.41,13.1,6,3.54,1,0
ID,83,0,0,0,159.3,104,27.08,202.3,98,17.2,229,73,10.31,9.5,3,2.57,2,0
MA,101,0,1,21,238,88,40.46,209.6,84,17.82,233,95,10.49,10,5,2.7,2,0
MD,120,0,1,40,128.1,99,21.78,247.7,78,21.05,199.7,121,8.99,15.6,3,4.21,0,0
SD,183,0,1,31,171.2,104,29.1,193.6,74,16.46,196.5,85,8.84,10.2,4,2.75,1,0
KY,80,0,0,0,220,114,37.4,207.7,76,17.65,168.4,137,7.58,12.1,3,3.27,2,0
ID,88,0,0,0,55.6,65,9.45,242.7,121,20.63,176.3,134,7.93,11.3,4,3.05,0,0
NY,112,0,1,23,286.6,79,48.72,315.3,102,26.8,193.9,101,8.73,10.3,6,2.78,1,0
NM,63,0,0,0,207.6,96,35.29,229,112,19.47,162.6,131,7.32,13.3,2,3.59,1,0
ID,92,0,0,0,197.2,113,33.52,242.3,116,20.6,192,76,8.64,11,5,2.97,2,0
WY,177,0,0,0,175.7,120,29.87,168.6,90,14.33,198.9,110,8.95,14.6,4,3.94,1,0
NM,118,0,0,0,205.2,115,34.88,184.8,137,15.71,176.1,115,7.92,7,6,1.89,0,0
HI,111,0,1,13,193.1,104,32.83,111.6,98,9.49,227.4,94,10.23,12.1,4,3.27,1,0
ID,82,0,1,34,232.6,121,39.54,153.2,115,13.02,286.7,77,12.9,4.7,3,1.27,3,0
NC,74,0,0,0,102.7,89,17.46,149.3,100,12.69,188.1,114,8.46,11,5,2.97,0,0
TX,121,0,1,31,263.1,70,44.73,279.3,118,23.74,127.1,143,5.72,9.7,4,2.62,5,0
GA,131,0,0,0,197,79,33.49,201,114,17.09,151.2,111,6.8,11.6,5,3.13,1,0
AL,125,0,0,0,169.3,90,28.78,156,138,13.26,210.8,106,9.49,11.6,6,3.13,2,0
ME,19,0,0,0,201.5,123,34.26,129.2,110,10.98,220.6,98,9.93,12.9,4,3.48,1,0
VA,138,0,0,0,251,119,42.67,91.2,96,7.75,142.2,87,6.4,13.8,3,3.73,3,0
ID,119,0,0,0,230.4,117,39.17,225,101,19.13,198.5,111,8.93,7.6,6,2.05,3,0
NY,137,0,0,0,109.8,120,18.67,230.5,86,19.59,255.8,103,11.51,11.9,6,3.21,1,0
OH,135,0,0,0,173.4,107,29.48,222,84,18.87,64.2,94,2.89,13.7,6,3.7,1,0
HI,134,0,1,38,214.4,93,36.45,211.7,57,17.99,165,79,7.43,10,8,2.7,1,0
DC,45,0,0,0,96.1,103,16.34,246.8,134,20.98,229.7,92,10.34,9.7,4,2.62,1,0
TN,129,0,0,0,101.4,145,17.24,249.1,116,21.17,157.6,107,7.09,7.1,6,1.92,1,0
VT,142,0,0,0,232.5,74,39.53,181.8,142,15.45,203.1,86,9.14,10.4,6,2.81,4,0
MD,130,0,1,45,174.5,120,29.67,217.5,95,18.49,220.3,67,9.91,12.2,2,3.29,1,0
LA,163,0,1,23,224,126,38.08,233.5,89,19.85,293.9,104,13.23,8.8,4,2.38,1,0
HI,105,0,0,0,211.1,99,35.89,176.7,66,15.02,221.5,96,9.97,14.7,7,3.97,4,0
FL,119,0,0,0,109.2,96,18.56,153.1,80,13.01,240,102,10.8,9.8,5,2.65,2,0
WY,78,0,0,0,220,95,37.4,179.9,121,15.29,188.2,109,8.47,11.5,5,3.11,0,0
NE,92,0,0,0,181.4,98,30.84,164.5,98,13.98,171,110,7.69,10.9,4,2.94,2,0
WY,146,0,1,11,180.7,82,30.72,173.7,90,14.76,231.5,89,10.42,10.1,4,2.73,2,0
OR,125,0,1,32,96.5,109,16.41,145.8,109,12.39,174.4,82,7.85,9.4,2,2.54,1,0
IN,88,0,0,0,183.5,93,31.2,170.5,80,14.49,193.8,88,8.72,8.3,5,2.24,3,0
MD,83,0,1,38,107.9,90,18.34,140.4,94,11.93,253.6,79,11.41,10.5,2,2.84,0,0
TN,3,1,0,0,161,96,27.37,244.9,82,20.82,180.8,103,8.14,7.7,6,2.08,1,0
WA,48,0,0,0,149.2,146,25.36,161.9,109,13.76,197.9,109,8.91,8.3,2,2.24,3,0
MS,189,0,0,0,227.8,124,38.73,169.5,112,14.41,201.1,91,9.05,5.6,4,1.51,3,0
OH,95,0,1,23,160.3,87,27.25,202.4,101,17.2,191.1,122,8.6,7.4,3,2,0,0
CO,66,0,1,40,141.7,87,24.09,268.3,89,22.81,241.3,68,10.86,8.5,7,2.3,0,0
TX,80,0,1,22,196.4,115,33.39,150.3,109,12.78,176.2,75,7.93,9.3,1,2.51,0,0
AK,1,0,0,0,175.2,74,29.78,151.7,79,12.89,230.5,109,10.37,5.3,3,1.43,1,0
WV,84,0,0,0,146.8,133,24.96,171.7,73,14.59,234.5,69,10.55,9.9,3,2.67,1,0
MA,96,0,0,0,173.9,111,29.56,287.4,105,24.43,204.8,91,9.22,9.1,7,2.46,1,0
TN,123,0,1,34,305.2,80,51.88,156.5,109,13.3,280,81,12.6,13.2,7,3.56,1,0
DE,105,1,0,0,150,106,25.5,293.8,123,24.97,250.7,65,11.28,10.3,7,2.78,3,0
VA,80,0,0,0,197.5,114,33.58,206.9,119,17.59,163.6,109,7.36,11.3,4,3.05,1,0
MT,157,0,0,0,240.2,67,40.83,153,98,13.01,249,72,11.21,10.2,6,2.75,2,0
ID,67,0,1,30,186.2,117,31.65,286.7,76,24.37,164.3,113,7.39,12.9,3,3.48,2,0
IN,141,0,1,39,116.9,127,19.87,276.5,88,23.5,289.9,125,13.05,12.3,2,3.32,0,0
MD,79,0,1,17,236.7,95,40.24,263.5,56,22.4,259.6,107,11.68,12,4,3.24,1,0
MS,76,0,0,0,173.2,93,29.44,131.2,80,11.15,170.9,104,7.69,5.4,3,1.46,0,0
WA,111,0,0,0,152.2,114,25.87,137.2,102,11.66,185.9,97,8.37,9.8,3,2.65,0,0
OH,94,0,0,0,181.3,135,30.82,182.4,108,15.5,180.6,103,8.13,6.7,2,1.81,0,0
AR,109,0,0,0,175.4,125,29.82,250.7,87,21.31,289.3,74,13.02,9.8,9,2.65,1,0
AZ,138,0,0,0,87.6,112,14.89,266.9,107,22.69,214.6,104,9.66,9.8,10,2.65,2,0
SC,73,0,0,0,203.3,45,34.56,141.9,87,12.06,200.7,71,9.03,8.5,6,2.3,0,0
AL,148,0,1,21,262.9,135,44.69,149.5,96,12.71,140.5,109,6.32,8.1,4,2.19,1,0
NE,103,0,0,0,160.8,91,27.34,155.8,82,13.24,254.3,103,11.44,8.5,3,2.3,1,0
MT,143,0,1,22,141.8,116,24.11,167.3,99,14.22,178.1,130,8.01,7.8,3,2.11,1,0
